,排名,證券代號,證券名稱,成交股數,成交筆數,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示賣價,Date
0,1,2603,長榮,477004836,164394,120.0,120.5,114.0,116.0,+,0.5,115.5,116.0,2024-01-04
1,2,3481,群創,355640553,93684,23.2,23.5,22.25,22.3,-,0.95,22.3,22.35,2024-01-04
2,3,2609,陽明,328556712,124765,116.0,117.0,111.0,113.0,-,1.5,113.0,113.5,2024-01-04
3,4,2409,友達,312756840,79012,24.85,25.25,23.8,23.85,-,1.0,23.85,23.9,2024-01-04
4,5,2002,中鋼,228299365,79340,37.05,37.35,35.3,36.1,-,1.1,36.05,36.1,2024-01-04
5,6,2303,聯電,210880690,87577,51.7,51.9,50.2,50.7,-,1.5,50.7,50.8,2024-01-04
6,7,2610,華航,189834385,56088,19.65,19.7,18.65,18.8,-,0.85,18.8,18.85,2024-01-04
7,8,2618,長榮航,178093120,43684,21.4,21.45,20.05,20.35,-,1.1,20.35,20.4,2024-01-04
8,9,6116,彩晶,176477449,52184,23.5,24.0,22.3,22.4,-,1.1,22.35,22.4,2024-01-04
9,10,00632R,元大台灣50反1,162575376,6852,5.78,5.82,5.76,5.79,+,0.03,5.79,5.8,2024-01-04
10,11,2390,云辰,136273789,53818,26.9,28.85,26.4,26.8,+,0.55,26.8,26.85,2024-01-04
11,12,5608,四維航,128254772,50466,37.7,39.15,36.5,36.6,-,0.3,36.6,36.65,2024-01-04
12,13,3545,敦泰,79740825,53560,232.0,248.0,229.0,248.0,+,17.5,247.5,248.0,2024-01-04
13,14,2329,華泰,73320496,25206,20.5,21.6,20.0,20.25,+,0.25,20.25,20.3,2024-01-04
14,15,1314,中石化,71191097,14672,13.85,13.9,13.25,13.4,-,0.4,13.35,13.4,2024-01-04
15,16,3037,欣興,70703918,37647,127.0,131.5,125.0,127.0,+,1.5,127.0,127.5,2024-01-04
16,17,1905,華紙,69937382,30147,29.9,30.3,27.6,27.75,-,1.8,27.75,27.8,2024-01-04
17,18,00715L,期街口布蘭特正2,68788925,5494,8.25,8.39,8.25,8.36,+,0.38,8.35,8.36,2024-01-04
18,19,2888,新光金,67678563,11901,9.88,9.9,9.7,9.73,-,0.17,9.72,9.73,2024-01-04
19,20,3014,聯陽,61586956,27560,121.0,132.0,120.5,132.0,+,12.0,132.0,0.0,2024-01-04
