,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季,民國112年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,112年01月01日至112年09月30日,111年01月01日至111年09月30日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
,Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
0,營業活動之現金流量－間接法,,,,,,
1,繼續營業單位稅前淨利（淨損）,700890335.0,809520844.0,,,,
2,本期稅前淨利（淨損）,700890335.0,809520844.0,,,,
3,折舊費用,374654167.0,323122219.0,,,,
4,攤銷費用,6888324.0,6550157.0,,,,
5,預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,41161.0,33282.0,,,,
6,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-27022.0,0.0,,,,
7,利息費用,9080763.0,8415015.0,,,,
8,利息收入,-42885113.0,-11834868.0,,,,
9,股利收入,-387837.0,-260534.0,,,,
10,股份基礎給付酬勞成本,355701.0,222091.0,,,,
11,採用權益法認列之關聯企業及合資損失（利益）之份額,-3339974.0,-6061304.0,,,,
12,處分及報廢不動產、廠房及設備損失（利益）,335393.0,91532.0,,,,
13,處分無形資產損失（利益）,-2308.0,0.0,,,,
14,處分投資損失（利益）,372631.0,346125.0,,,,
15,非金融資產減損損失,0.0,790740.0,,,,
16,未實現外幣兌換損失（利益）,4178853.0,12532183.0,,,,
17,其他項目,-280262.0,-292572.0,,,,
18,收益費損項目合計,348984477.0,333654066.0,,,,
19,強制透過損益按公允價值衡量之金融資產（增加）減少,857225.0,-4622312.0,,,,
20,應收帳款（增加）減少,7288198.0,-62861124.0,,,,
21,應收帳款－關係人（增加）減少,1227701.0,-375850.0,,,,
22,其他應收款－關係人（增加）減少,-13388.0,-14612.0,,,,
23,存貨（增加）減少,-40940924.0,-25233553.0,,,,
24,其他流動資產（增加）減少,-5852289.0,-1072295.0,,,,
25,其他金融資產（增加）減少,263031.0,-4371124.0,,,,
26,其他營業資產（增加）減少,-378730.0,0.0,,,,
27,與營業活動相關之資產之淨變動合計,-37549176.0,-98550870.0,,,,
28,應付帳款增加（減少）,-2728825.0,12861802.0,,,,
29,應付帳款－關係人增加（減少）,-21214.0,433633.0,,,,
30,其他流動負債增加（減少）,-42160879.0,46160121.0,,,,
31,淨確定福利負債增加(減少),-705413.0,-2533617.0,,,,
32,其他營業負債增加（減少）,2736130.0,108645033.0,,,,
33,與營業活動相關之負債之淨變動合計,-42880201.0,165566972.0,,,,
34,與營業活動相關之資產及負債之淨變動合計,-80429377.0,67016102.0,,,,
35,調整項目合計,268555100.0,400670168.0,,,,
36,營運產生之現金流入（流出）,969445435.0,1210191012.0,,,,
37,退還（支付）之所得稅,-122307435.0,-86473728.0,,,,
38,營業活動之淨現金流入（流出）,847138000.0,1123717284.0,,,,
39,投資活動之現金流量,,,,,,
40,取得透過其他綜合損益按公允價值衡量之金融資產,-54832622.0,-49269573.0,,,,
41,處分透過其他綜合損益按公允價值衡量之金融資產,28804766.0,41221410.0,,,,
42,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,117897.0,300.0,,,,
43,取得按攤銷後成本衡量之金融資產,-115641029.0,-123508899.0,,,,
44,按攤銷後成本衡量之金融資產到期還本,89166171.0,20620129.0,,,,
45,取得透過損益按公允價值衡量之金融資產,-323973.0,0.0,,,,
46,除列避險之金融負債,66776.0,1591074.0,,,,
47,取得不動產、廠房及設備,-779656605.0,-745827757.0,,,,
48,處分不動產、廠房及設備,391764.0,801029.0,,,,
49,存出保證金增加,-4053259.0,-1904318.0,,,,
50,存出保證金減少,357210.0,437209.0,,,,
51,取得無形資產,-3387581.0,-5471086.0,,,,
52,處分無形資產,2308.0,0.0,,,,
53,其他預付款項增加,-50173.0,0.0,,,,
54,收取之利息,41015135.0,9440363.0,,,,
55,收取之股利,3464319.0,3010201.0,,,,
56,其他投資活動,20757802.0,463696.0,,,,
57,投資活動之淨現金流入（流出）,-773801094.0,-848396222.0,,,,
58,籌資活動之現金流量,,,,,,
59,短期借款減少,0.0,-111959992.0,,,,
60,發行公司債,75821552.0,187690399.0,,,,
61,償還公司債,-18100000.0,0.0,,,,
62,舉借長期借款,2450000.0,500000.0,,,,
63,償還長期借款,-1244444.0,0.0,,,,
64,存入保證金增加,230116.0,199190.0,,,,
65,存入保證金減少,-217446.0,-43314.0,,,,
66,租賃本金償還,-2132449.0,-1767753.0,,,,
67,發放現金股利,-213925639.0,-213925639.0,,,,
68,庫藏股票買回成本,0.0,-871566.0,,,,
69,支付之利息,-11363895.0,-6498170.0,,,,
70,非控制權益變動,11046506.0,16264358.0,,,,
71,其他籌資活動,27908580.0,0.0,,,,
72,籌資活動之淨現金流入（流出）,-129527119.0,-130412487.0,,,,
73,匯率變動對現金及約當現金之影響,25182665.0,86114017.0,,,,
74,本期現金及約當現金增加（減少）數,-31007548.0,231022592.0,,,,
75,期初現金及約當現金餘額,1342814083.0,1064990192.0,,,,
76,期末現金及約當現金餘額,1311806535.0,1296012784.0,,,,
77,資產負債表帳列之現金及約當現金,1311806535.0,1296012784.0,,,,
